grid_size,average_time_ns
9, 604170.0
11, 997930.0
13, 1426300.0
15, 2115950.0
17, 2749630.0
19, 3516920.0
21, 4398870.0
23, 5789560.0
25, 6646450.0
27, 8579550.0
29, 10744550.0
31, 12667490.0
33, 16022700.0
35, 17148740.0
37, 19523750.0
39, 25012520.0
41, 26639610.0
43, 30821330.0
45, 36439820.0
47, 38893340.0
49, 46889010.0
51, 51908250.0
53, 52648680.0
55, 66695630.0
57, 73241060.0
59, 84374480.0
61, 91622980.0
63, 111398190.0
65, 107892630.0
67, 132715230.0
69, 143821950.0
71, 131847640.0
73, 157579400.0
75, 189431230.0
77, 206924210.0
79, 209860060.0
81, 232523660.0
83, 250309180.0
85, 301662090.0
87, 296766740.0
89, 306289590.0
91, 354207970.0
93, 395721060.0
95, 406203450.0
97, 460728130.0
99, 486230450.0